"Year","TA","Region","GDP","GDP_real","GDP_perCapita","GDP_real_perCapita","notes"
2009,"Waipa District","Waikato",362940814.013942,387912485.693316,7872902690.1072,8414587542.15435,"estimate"
2009,"Wairoa District","Hawke's Bay",82653582.1438504,86674826.2015125,9701124664.77117,10173101666.8442,"estimate"
2009,"Waitaki District","Canterbury",149018251.042034,157520996.844618,7130059858.47053,7536889801.17789,"estimate"
2009,"Waitaki District","Otago",100982998.028919,106763013.79957,4831722393.7282,5108278172.22821,"estimate"
2009,"Waitomo District","Manawatu-Wanganui",5550733.50279047,5863280.30996892,578804327.715378,611395235.658907,"estimate"
2009,"Waitomo District","Waikato",102655600.042766,108543874.834509,10704442131.6753,11318443674.0885,"estimate"
2009,"Wanganui District","Manawatu-Wanganui",468282591.967671,496945818.63027,10765117056.7281,11424041807.5924,"estimate"
2009,"Wellington City","Wellington",6070818627.99528,6448660313.92099,31536720145.43,33499534098.2909,"estimate"
2009,"Western Bay of Plenty District","Bay of Plenty",274855485.94101,292775952.23656,6162679056.97332,6564483234.00359,"estimate"
2009,"Westland District","West Coast",84261544.9886121,89748996.4527238,9729970552.95752,10363625456.4346,"estimate"
2009,"Whakatane District","Bay of Plenty",325800202.417286,347014746.904022,9498548175.43109,10117048014.6945,"estimate"
2009,"Whangarei District","Northland",936149246.363613,997472773.909958,11716511218.5684,12484014692.2398,"estimate"
2010,"Ashburton District","Canterbury",393851379.332757,422405128.242214,13084763432.9819,14033392964.8576,"estimate"
2010,"Auckland","Auckland",22463593797.9849,23925245218.0174,15604052374.2602,16619370115.3219,"estimate"
2010,"Buller District","West Coast",145204574.591123,156141877.412416,14029427496.7269,15086171730.6682,"estimate"
2010,"Carterton District","Wellington",60929988.1781506,65236648.1443506,7702906217.21247,8247363861.48554,"estimate"
