Measure,Territorial authority,Quarter,Value,Flags
"Total earnings","Ruapehu district (modified)","Mar-12",49091500,
"Total earnings","Wanganui district","Mar-12",174809800,
"Total earnings","South Taranaki district","Mar-12",127964800,
"Total earnings","New Plymouth district","Mar-12",426799300,
"Total earnings","Stratford district","Mar-12",25998300,
"Total earnings","Central Hawke's Bay district","Mar-12",52811000,
"Total earnings","Napier city","Mar-12",229394200,
"Total earnings","Hastings district (modified)","Mar-12",371281400,
"Total earnings","Wairoa district","Mar-12",25966600,
"Total earnings","Kawerau district","Mar-12",40480700,
"Total earnings","Gisborne district","Mar-12",178394300,
"Total earnings","Opotiki district","Mar-12",24478200,
"Total earnings","Whakatane district (modified)","Mar-12",122689500,
"Total earnings","Tauranga city","Mar-12",524124200,
"Total earnings","Rotorua district","Mar-12",303390900,
"Total earnings","Taupo district (modified)","Mar-12",138810300,
"Total earnings","Waitomo district (modified)","Mar-12",41118700,
"Total earnings","Western Bay of Plenty district","Mar-12",108516600,
"Total earnings","South Waikato district","Mar-12",84149800,
"Total earnings","Otorohanga district","Mar-12",33378800,
"Total earnings","Waipa district","Mar-12",155669600,
"Total earnings","Hamilton city","Mar-12",889506200,
"Total earnings","Matamata-Piako district","Mar-12",135267600,
"Total earnings","Thames-Coromandel district","Mar-12",80015100,
"Total earnings","Waikato district","Mar-12",159186700,
"Total earnings","Hauraki district","Mar-12",56048000,
"Total earnings","Kaipara district","Mar-12",47160700,
"Total earnings","Auckland","Mar-12",8289712300,
"Total earnings","Whangarei district","Mar-12",326700800,
"Total earnings","Carterton district","Mar-12",24967300,
"Total earnings","Masterton district","Mar-12",92769400,
"Total earnings","Lower Hutt city","Mar-12",501100800,
"Total earnings","Tasman district","Mar-12",167225500,
"Total earnings","South Wairarapa district","Mar-12",22382800,
"Total earnings","Marlborough district","Mar-12",198131300,
"Total earnings","Nelson city","Mar-12",253589800,
"Total earnings","Kaikoura district","Mar-12",13178700,
"Total earnings","Westland district","Mar-12",36575800,
"Total earnings","Grey district","Mar-12",77534400,
"Total earnings","Buller district","Mar-12",64894500,
"Total earnings","Waimakariri district","Mar-12",110481800,
"Total earnings","Hurunui district","Mar-12",35192800,
"Total earnings","Selwyn district","Mar-12",147720000,
"Total earnings","Christchurch city (modified)","Mar-12",2105542000,
"Total earnings","Ashburton district","Mar-12",156789400,
"Total earnings","Waimate district","Mar-12",20926700,
"Total earnings","Mackenzie district","Mar-12",17209300,
"Total earnings","Timaru district","Mar-12",214140600,
"Total earnings","Central Otago district","Mar-12",85664200,
"Total earnings","Waitaki district","Mar-12",98164500,
"Total earnings","Dunedin city","Mar-12",558300000,
"Total earnings","Queenstown-Lakes district","Mar-12",151693600,
"Total earnings","Clutha district","Mar-12",75414700,
"Total earnings","Invercargill city","Mar-12",266922100,
"Total earnings","Gore district","Mar-12",59871500,
"Total earnings","Southland district","Mar-12",153030300,
"Total earnings","Southland district","Dec-11",145984300,
"Total earnings","Gore district","Dec-11",58007100,
"Total earnings","Invercargill city","Dec-11",274394600,
"Total earnings","Clutha district","Dec-11",75315100,
"Total earnings","Queenstown-Lakes district","Dec-11",148523200,
"Total earnings","Dunedin city","Dec-11",589858500,
"Total earnings","Waitaki district","Dec-11",97160300,
"Total earnings","Central Otago district","Dec-11",80339300,
"Total earnings","Timaru district","Dec-11",219992800,
"Total earnings","Mackenzie district","Dec-11",16089900,
"Total earnings","Waimate district","Dec-11",21702800,
"Total earnings","Ashburton district","Dec-11",153978200,
"Total earnings","Christchurch city (modified)","Dec-11",2199100200,
"Total earnings","Selwyn district","Dec-11",149369500,
"Total earnings","Hurunui district","Dec-11",34824000,
"Total earnings","Waimakariri district","Dec-11",115234100,
"Total earnings","Buller district","Dec-11",67809100,
"Total earnings","Grey district","Dec-11",82628300,
"Total earnings","Westland district","Dec-11",36200800,
"Total earnings","Kaikoura district","Dec-11",14457500,
"Total earnings","Nelson city","Dec-11",268946100,
"Total earnings","Marlborough district","Dec-11",203073700,
"Total earnings","South Wairarapa district","Dec-11",22929400,
"Total earnings","Tasman district","Dec-11",156599100,
"Total earnings","Lower Hutt city","Dec-11",531037600,
"Total earnings","Masterton district","Dec-11",96277900,
"Total earnings","Carterton district","Dec-11",26357200,
"Total earnings","Whangarei district","Dec-11",347108800,
"Total earnings","Auckland","Dec-11",8668853300,
"Total earnings","Kaipara district","Dec-11",51829000,
"Total earnings","Hauraki district","Dec-11",55443300,
"Total earnings","Waikato district","Dec-11",175201200,
"Total earnings","Thames-Coromandel district","Dec-11",80226000,
"Total earnings","Matamata-Piako district","Dec-11",151953000,
"Total earnings","Hamilton city","Dec-11",957169300,
"Total earnings","Waipa district","Dec-11",168757300,
"Total earnings","Otorohanga district","Dec-11",34461800,
"Total earnings","South Waikato district","Dec-11",92545300,
"Total earnings","Western Bay of Plenty district","Dec-11",118559200,
"Total earnings","Waitomo district (modified)","Dec-11",42720900,
"Total earnings","Taupo district (modified)","Dec-11",143835100,
"Total earnings","Rotorua district","Dec-11",319601300,
"Total earnings","Tauranga city","Dec-11",545942500,
"Total earnings","Whakatane district (modified)","Dec-11",131994900,
"Total earnings","Opotiki district","Dec-11",25402500,
"Total earnings","Gisborne district","Dec-11",185303400,
"Total earnings","Kawerau district","Dec-11",40823100,
"Total earnings","Wairoa district","Dec-11",27646600,
"Total earnings","Hastings district (modified)","Dec-11",370217100,
"Total earnings","Napier city","Dec-11",242260900,
"Total earnings","Central Hawke's Bay district","Dec-11",48830700,
"Total earnings","Stratford district","Dec-11",26743900,
"Total earnings","New Plymouth district","Dec-11",423280900,
"Total earnings","South Taranaki district","Dec-11",136683000,
"Total earnings","Wanganui district","Dec-11",177635900,
"Total earnings","Ruapehu district (modified)","Dec-11",52303400,
"Total earnings","Rangitikei district (modified)","Dec-11",48169300,
"Total earnings","Manawatu district","Dec-11",83688100,
"Total earnings","Palmerston North city","Dec-11",526272000,
"Total earnings","Tararua district","Dec-11",55514900,
"Total earnings","Porirua city","Dec-11",169071900,
"Total earnings","Horowhenua district","Dec-11",76077600,
"Total earnings","Kapiti Coast district","Dec-11",112960900,
"Total earnings","Upper Hutt city","Dec-11",125663100,
"Total earnings","Wellington city","Dec-11",2176203100,
"Total earnings","Wellington city","Sep-11",2143662100,
"Total earnings","Upper Hutt city","Sep-11",122511400,
"Total earnings","Kapiti Coast district","Sep-11",103729500,
"Total earnings","Horowhenua district","Sep-11",72333500,
"Total earnings","Porirua city","Sep-11",159478900,
"Total earnings","Tararua district","Sep-11",48871200,
"Total earnings","Palmerston North city","Sep-11",504221800,
"Total earnings","Manawatu district","Sep-11",73526900,
"Total earnings","Rangitikei district (modified)","Sep-11",43039800,
"Total earnings","Ruapehu district (modified)","Sep-11",56267700,
"Total earnings","Wanganui district","Sep-11",172430900,
"Total earnings","South Taranaki district","Sep-11",124072900,
"Total earnings","New Plymouth district","Sep-11",399404000,
"Total earnings","Stratford district","Sep-11",25172400,
"Total earnings","Napier city","Sep-11",224506200,
"Total earnings","Hastings district (modified)","Sep-11",344653200,
"Total earnings","Central Hawke's Bay district","Sep-11",45560600,
"Total earnings","Wairoa district","Sep-11",25805700,
"Total earnings","Kawerau district","Sep-11",40085000,
"Total earnings","Gisborne district","Sep-11",173458300,
"Total earnings","Opotiki district","Sep-11",25113500,
"Total earnings","Whakatane district (modified)","Sep-11",125976800,
"Total earnings","Tauranga city","Sep-11",523741600,
"Total earnings","Rotorua district","Sep-11",300587800,
"Total earnings","Taupo district (modified)","Sep-11",137043800,
"Total earnings","Western Bay of Plenty district","Sep-11",125034300,
"Total earnings","South Waikato district","Sep-11",87477300,
"Total earnings","Otorohanga district","Sep-11",33022900,
"Total earnings","Waitomo district (modified)","Sep-11",37874100,
"Total earnings","Waipa district","Sep-11",154296500,
"Total earnings","Hamilton city","Sep-11",910763300,
"Total earnings","Matamata-Piako district","Sep-11",134908400,
"Total earnings","Waikato district","Sep-11",158213700,
"Total earnings","Hauraki district","Sep-11",52096600,
"Total earnings","Kaipara district","Sep-11",45499300,
"Total earnings","Thames-Coromandel district","Sep-11",74924900,
"Total earnings","Auckland","Sep-11",8311599400,
"Total earnings","Whangarei district","Sep-11",330428100,
"Total earnings","Carterton district","Sep-11",23829600,
"Total earnings","Lower Hutt city","Sep-11",511332300,
"Total earnings","Masterton district","Sep-11",89202300,
"Total earnings","Tasman district","Sep-11",147100200,
"Total earnings","Nelson city","Sep-11",254935600,
"Total earnings","South Wairarapa district","Sep-11",20318400,
"Total earnings","Marlborough district","Sep-11",201511900,
"Total earnings","Kaikoura district","Sep-11",13538300,
"Total earnings","Westland district","Sep-11",30914700,
"Total earnings","Buller district","Sep-11",59741700,
"Total earnings","Grey district","Sep-11",78575400,
"Total earnings","Waimakariri district","Sep-11",104733000,
"Total earnings","Christchurch city (modified)","Sep-11",2092012400,
"Total earnings","Hurunui district","Sep-11",32243500,
"Total earnings","Selwyn district","Sep-11",137796000,
"Total earnings","Ashburton district","Sep-11",146004300,
"Total earnings","Waimate district","Sep-11",19990100,
"Total earnings","Timaru district","Sep-11",207449400,
"Total earnings","Mackenzie district","Sep-11",15901300,
"Total earnings","Central Otago district","Sep-11",75225900,
"Total earnings","Queenstown-Lakes district","Sep-11",151707200,
"Total earnings","Waitaki district","Sep-11",87515000,
"Total earnings","Dunedin city","Sep-11",560439700,
"Total earnings","Clutha district","Sep-11",69588300,
"Total earnings","Invercargill city","Sep-11",256826000,
"Total earnings","Southland district","Sep-11",124860200,
"Total earnings","Gore district","Sep-11",52508100,
"Total earnings","Southland district","Jun-11",141425100,
"Total earnings","Gore district","Jun-11",58431500,
"Total earnings","Dunedin city","Jun-11",562879600,
"Total earnings","Clutha district","Jun-11",71634600,
"Total earnings","Invercargill city","Jun-11",261345500,
"Total earnings","Waimate district","Jun-11",19213100,
"Total earnings","Waitaki district","Jun-11",95798600,
"Total earnings","Central Otago district","Jun-11",74742700,
"Total earnings","Queenstown-Lakes district","Jun-11",137249600,
"Total earnings","Timaru district","Jun-11",204378400,
"Total earnings","Mackenzie district","Jun-11",14794300,
"Total earnings","Selwyn district","Jun-11",133948500,
"Total earnings","Ashburton district","Jun-11",142112100,
"Total earnings","Westland district","Jun-11",32167500,
"Total earnings","Hurunui district","Jun-11",32285300,
"Total earnings","Waimakariri district","Jun-11",103698800,
"Total earnings","Christchurch city (modified)","Jun-11",2068346300,
"Total earnings","Buller district","Jun-11",59029300,
"Total earnings","Grey district","Jun-11",77898700,
"Total earnings","Marlborough district","Jun-11",202345800,
"Total earnings","Kaikoura district","Jun-11",14252600,
"Total earnings","Carterton district","Jun-11",24773000,
"Total earnings","South Wairarapa district","Jun-11",21829900,
"Total earnings","Tasman district","Jun-11",158728800,
"Total earnings","Nelson city","Jun-11",254813300,
"Total earnings","Whangarei district","Jun-11",324097100,
"Total earnings","Auckland","Jun-11",8136656700,
"Total earnings","Thames-Coromandel district","Jun-11",75750800,
"Total earnings","Kaipara district","Jun-11",48543400,
"Total earnings","Hauraki district","Jun-11",51567800,
"Total earnings","Waikato district","Jun-11",150715400,
"Total earnings","Matamata-Piako district","Jun-11",135704000,
"Total earnings","Hamilton city","Jun-11",889582700,
"Total earnings","Waipa district","Jun-11",152552000,
"Total earnings","Waitomo district (modified)","Jun-11",40515100,
"Total earnings","Otorohanga district","Jun-11",32907400,
"Total earnings","South Waikato district","Jun-11",87176800,
"Total earnings","Western Bay of Plenty district","Jun-11",151956600,
"Total earnings","Taupo district (modified)","Jun-11",131823900,
"Total earnings","Rotorua district","Jun-11",298944800,
"Total earnings","Tauranga city","Jun-11",525297600,
"Total earnings","Whakatane district (modified)","Jun-11",134946800,
"Total earnings","Kawerau district","Jun-11",40216600,
"Total earnings","Opotiki district","Jun-11",27596700,
"Total earnings","Gisborne district","Jun-11",173732300,
"Total earnings","Wairoa district","Jun-11",27794300,
"Total earnings","Hastings district (modified)","Jun-11",375188900,
